City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,westport,41.1415,-73.3579,17.31,56,0,5.14,US,1728644457
1,grytviken,-54.2811,-36.5092,2.27,84,15,3.78,GS,1728631565
2,puerto natales,-51.7236,-72.4875,10.25,57,75,6.69,CL,1728640425
3,port mathurin,-19.6833,63.4167,22.33,73,88,11.5,MU,1728609544
4,port-aux-francais,-49.35,70.2167,-0.11,88,94,25.19,TF,1728606424
5,adamstown,-25.066,-130.1015,21.06,88,19,6.21,PN,1728655760
6,edinburgh of the seven seas,-37.0676,-12.3116,9.85,72,75,12.48,SH,1728626977
7,tromso,69.6496,18.957,4.01,81,75,5.66,NO,1728625184
8,presidente epitacio,-21.7633,-52.1156,31.58,47,91,4.45,BR,1728637181
9,invercargill,-46.4,168.35,4.55,91,44,2.81,NZ,1728669406
10,puerto ayora,-0.7393,-90.3518,21.97,85,90,2.24,EC,1728647046
11,kodiak,57.79,-152.4072,7.73,87,100,18.52,US,1728664609
12,stanley,54.868,-1.6985,10.71,67,20,4.63,GB,1728628119
13,shahba,32.8551,36.629,22.11,42,48,3.72,SY,1728617675
14,northam,51.0333,-4.2167,12.56,71,54,3.81,GB,1728628431
15,taulaga,-11.0553,-171.0883,27.3,80,63,7.74,AS,1728666091
16,sitka,57.0531,-135.33,7.94,87,75,0.0,US,1728660432
17,ilulissat,69.2167,-51.1,0.01,47,0,2.57,GL,1728641945
18,albany,42.6001,-73.9662,15.88,60,3,1.34,US,1728644678
19,cole harbour,44.6724,-63.4751,13.17,66,89,8.75,CA,1728642270
20,remire-montjoly,4.9167,-52.2667,33.02,62,20,6.17,GF,1728638080
21,east london,-33.0153,27.9116,18.52,72,0,2.57,ZA,1728617529
22,wailua homesteads,22.0669,-159.378,22.44,96,100,2.06,US,1728664336
23,yeed,4.55,43.0333,32.65,30,73,5.92,SO,1728615199
24,hermanus,-34.4187,19.2345,18.22,78,87,2.57,ZA,1728619544
25,mount pearl,47.5166,-52.7813,13.58,70,40,7.2,CA,1728639868
26,waitangi,-43.9535,-176.5597,8.23,81,100,3.7,NZ,1728752252
27,arawa,-6.2132,155.5367,24.69,91,100,1.29,PG,1728674255
28,nar'yan-mar,67.6713,53.087,-0.63,59,100,11.46,RU,1728616552
29,coreau,-3.5333,-40.6567,37.28,25,57,3.61,BR,1728635036
30,hithadhoo,-0.6,73.0833,27.82,77,39,6.05,MV,1728607834
31,saint-joseph,-21.3667,55.6167,21.21,74,70,6.86,RE,1728611355
32,kuqa,41.7278,82.9364,18.35,30,14,0.82,CN,1728693414
33,ushuaia,-54.8,-68.3,7.81,61,20,1.54,AR,1728639129
34,leninskoye,41.7589,69.3864,15.68,67,100,2.51,KZ,1728610203
35,pundong,-7.9522,110.3486,25.73,88,78,1.12,ID,1728598670
36,selfoss,63.9331,-20.9971,1.69,47,53,4.01,IS,1728633750
37,hadibu,12.65,54.0333,26.58,74,51,2.05,YE,1728612804
38,papatowai,-46.5619,169.4708,6.99,89,60,2.51,NZ,1728669126
39,porvoo,60.3923,25.6651,11.86,84,100,5.76,FI,1728622078
40,inhambane,-23.865,35.3833,24.99,78,20,3.09,MZ,1728616116
41,olot,42.181,2.4901,18.43,57,53,1.79,ES,1728626292
42,sao joao da barra,-21.6403,-41.0511,24.05,88,97,9.29,BR,1728634532
43,road town,18.4167,-64.6167,31.02,66,20,2.57,VG,1728641465
44,ghadamis,30.1337,9.5007,38.66,13,39,4.08,LY,1728624082
45,tiksi,71.6872,128.8694,-9.44,94,100,2.71,RU,1728685926
46,hawaiian paradise park,19.5933,-154.9731,21.61,94,100,1.54,US,1728663194
47,warman,52.3168,-106.5679,3.95,87,75,1.54,CA,1728653117
48,aguas belas,-9.1114,-37.1231,34.62,18,83,5.96,BR,1728634015
49,aykhal,66.0,111.5,-11.95,97,98,3.51,RU,1728688799
50,noumea,-22.2763,166.4572,19.53,70,84,5.32,NC,1728671084
51,zheleznogorsk,52.331,35.3711,14.94,67,13,3.75,RU,1728619012
52,enewetak,11.3474,162.3373,28.89,76,94,7.07,MH,1728673173
53,bredasdorp,-34.5322,20.0403,18.51,63,63,3.27,ZA,1728619346
54,margaret river,-33.95,115.0667,14.68,88,86,5.17,AU,1728682910
55,the hammocks,25.6715,-80.4445,28.9,85,32,0.89,US,1728645513
56,licata,37.1071,13.9461,22.86,59,75,10.18,IT,1728623300
57,qaqortoq,60.7167,-46.0333,4.4,54,100,1.62,GL,1728639353
58,casablanca,33.5928,-7.6192,25.19,73,0,4.12,MA,1728628329
59,nuku'alofa,-21.1333,-175.2,24.19,100,75,5.14,TO,1728753076
60,kailua-kona,19.6406,-155.9956,24.98,74,0,3.09,US,1728663441
61,harnoli,32.2792,71.5539,29.56,18,0,1.84,PK,1728609266
62,susuman,62.7833,148.1667,-8.01,96,100,1.17,RU,1728679480
63,taksimo,56.3444,114.8794,-3.95,72,44,1.43,RU,1728686753
64,duquesne,40.3815,-79.8598,16.91,57,0,3.09,US,1728645981
65,aitape,-3.1374,142.3475,26.18,87,38,2.68,PG,1728677518
66,ulan bator,47.9077,106.8832,0.07,69,0,0.0,MN,1728688021
67,udachny,66.4167,112.4,-10.55,97,99,2.18,RU,1728688657
68,at taj,24.2049,23.2857,31.0,12,0,4.13,LY,1728620558
69,fort st. john,56.2499,-120.8529,3.94,70,20,5.14,CA,1728656877
70,talnakh,69.4865,88.3972,-11.24,90,66,2.26,RU,1728608434
71,thompson,55.7435,-97.8558,5.09,81,20,2.57,CA,1728651304
72,iqaluit,63.7506,-68.5145,1.85,87,100,1.54,CA,1728645151
73,la'ie,21.6477,-157.9253,23.39,89,99,0.45,US,1728663972
74,georgetown,5.4112,100.3354,27.96,74,20,2.06,MY,1728687866
